datetime,symbol,open,high,low,close,volume,adx,sma10,sma20,sma50,sma100,sma200
2022-12-27 08:00:00,Binance:BTCUSDT,16919.39,16972.83,16592.37,16706.36,173749.58616,17.44,16779.12,16995.45,16842.82,18260.07,19900.21
2022-12-28 08:00:00,Binance:BTCUSDT,16706.06,16785.19,16465.33,16547.31,193037.56577,17.71,16760.03,16961.61,16802.82,18230.17,19840.82
2022-12-29 08:00:00,Binance:BTCUSDT,16547.32,16664.41,16488.91,16633.47,160998.47158,17.95,16779.49,16936.86,16817.04,18207.75,19791.11
2022-12-30 08:00:00,Binance:BTCUSDT,16633.47,16677.35,16333.0,16607.48,164916.31174,18.55,16750.68,16910.86,16797.16,18189.22,19761.71
2022-12-31 08:00:00,Binance:BTCUSDT,16607.48,16644.09,16470.0,16542.4,114490.42864,19.11,16722.46,16883.73,16786.6,18160.62,19733.74
2023-01-01 08:00:00,Binance:BTCUSDT,16541.77,16628.0,16499.01,16616.75,96925.41374,19.62,16701.99,16854.07,16782.7,18133.89,19703.91
2023-01-02 08:00:00,Binance:BTCUSDT,16617.17,16799.23,16548.7,16672.87,121888.57191,19.35,16691.43,16798.98,16789.56,18111.41,19685.27
2023-01-03 08:00:00,Binance:BTCUSDT,16672.78,16778.4,16605.28,16675.18,159541.53733,19.11,16675.33,16742.58,16790.67,18090.09,19666.3
2023-01-04 08:00:00,Binance:BTCUSDT,16675.65,16991.87,16652.66,16850.36,220362.18862,18.0,16677.16,16717.28,16789.67,18066.32,19655.7
2023-01-05 08:00:00,Binance:BTCUSDT,16850.36,16879.82,16753.0,16831.85,163473.56641,16.96,16668.4,16727.27,16793.05,18043.85,19636.99
2023-01-06 08:00:00,Binance:BTCUSDT,16831.85,17041.0,16679.0,16950.65,207401.28415,16.13,16692.83,16735.98,16798.21,18019.22,19618.87
2023-01-07 08:00:00,Binance:BTCUSDT,16950.31,16981.91,16908.0,16943.57,104526.5688,15.36,16732.46,16746.25,16803.07,17992.74,19599.97
2023-01-08 08:00:00,Binance:BTCUSDT,16943.83,17176.99,16911.0,17127.83,135155.89695,15.36,16781.89,16780.69,16811.62,17969.8,19585.67
2023-01-09 08:00:00,Binance:BTCUSDT,17127.83,17398.8,17104.66,17178.26,266211.52723,16.06,16838.97,16794.83,16829.58,17948.47,19566.01
2023-01-10 08:00:00,Binance:BTCUSDT,17179.04,17499.0,17146.34,17440.66,221382.42581,17.0,16928.8,16825.63,16862.77,17932.31,19547.02
2023-01-11 08:00:00,Binance:BTCUSDT,17440.64,18000.0,17315.6,17943.26,262221.60653,19.0,17061.45,16881.72,16897.09,17915.45,19529.28
2023-01-12 08:00:00,Binance:BTCUSDT,17943.26,19117.04,17892.05,18846.62,454568.32178,22.23,17278.82,16985.12,16941.96,17900.54,19518.33
2023-01-13 08:00:00,Binance:BTCUSDT,18846.62,20000.0,18714.12,19930.01,368615.87823,25.81,17604.31,17139.82,17008.58,17898.26,19514.26
2023-01-14 08:00:00,Binance:BTCUSDT,19930.01,21258.0,19888.05,20954.92,393913.74951,29.65,18014.76,17345.96,17097.24,17908.2,19517.63
2023-01-15 08:00:00,Binance:BTCUSDT,20952.76,21050.74,20551.01,20871.5,178542.22549,33.22,18418.73,17543.57,17185.5,17921.61,19521.37
2023-01-16 08:00:00,Binance:BTCUSDT,20872.99,21474.05,20611.48,21185.65,293078.08262,36.66,18842.23,17767.53,17280.63,17939.29,19527.59
2023-01-17 08:00:00,Binance:BTCUSDT,21185.65,21647.45,20841.31,21134.81,275407.74409,39.91,19261.35,17996.9,17379.07,17956.25,19536.87
2023-01-18 08:00:00,Binance:BTCUSDT,21132.29,21650.0,20407.15,20677.47,350916.01949,41.69,19616.32,18199.1,17463.77,17971.7,19543.99
2023-01-19 08:00:00,Binance:BTCUSDT,20677.47,21192.0,20659.19,21071.59,251385.84925,43.35,20005.65,18422.31,17541.93,17991.82,19552.77
2023-01-20 08:00:00,Binance:BTCUSDT,21071.59,22755.93,20861.28,22667.21,338079.13659,45.59,20528.3,18728.55,17655.73,18026.94,19564.92
2023-01-21 08:00:00,Binance:BTCUSDT,22666.0,23371.8,22422.0,22783.55,346445.48432,47.88,21012.33,19036.89,17769.54,18061.02,19577.96
2023-01-22 08:00:00,Binance:BTCUSDT,22783.35,23078.71,22292.37,22707.88,253577.75286,49.69,21398.46,19338.64,17886.0,18096.33,19588.68
2023-01-23 08:00:00,Binance:BTCUSDT,22706.02,23180.0,22500.0,22916.45,293588.37938,51.42,21697.1,19650.7,18002.21,18134.8,19595.13
2023-01-24 08:00:00,Binance:BTCUSDT,22917.81,23162.2,22462.93,22632.89,293158.78254,52.92,21864.9,19939.83,18115.54,18168.5,19600.33
2023-01-25 08:00:00,Binance:BTCUSDT,22631.94,23816.73,22300.0,23060.94,346042.83223,54.57,22083.84,20251.29,18234.98,18203.61,19607.67
2023-01-26 08:00:00,Binance:BTCUSDT,23060.42,23282.47,22850.01,23009.65,288924.43581,56.1,22266.24,20554.24,18358.44,18240.43,19618.41
